i,Action,Industry,Country,ИНН
Caterpillar,suspend minor Russian manufacturing facilities but not import sales,Industrials,United States,7705639173
CHR Hansen,suspend operations outside of staple food products,Materials,Denmark,7701205538
Coca-Cola,suspend certain operations in Russia but continue to operate some chains (Costa Coffee),Consumer Staples,United States,7701206556
Coinbase,block certain illicit Russian accounts but not all,Financials,United States,
Confor Step,Stopped producing or shipping to Russia,Consumer Discretionary,Portugal,
Continental,resumed local production after having previously suspended Russian factory,Consumer Discretionary,Germany,2312128627
Corning,suspend almost all sales in Russia except minor life-saving products,Information Technology,United States,7705298420
Credit Suisse,stop new business in Russia while meaningfully cutting exposure by 56%,Financials,Switzerland,1644003838
Danske Bank,ban Russian investments in customers' portfolios,Financials,Denmark,2901073054
DB Schenker,suspend direct shipments to Russia; continue Europe to Kazakhstan and Russia to Kazakhstan routes,Industrials,Germany,7707274337
Deere,suspend shipments into Russia only,Industrials,United States,7728772647
Discord,suspend renewal of paid and premium products and services for Russian clients; free services still available,Communication Services,United States,
Donaldson Company,stop direct product shipments into Russia & Belarus; no statement about operations inside Russia nor about partnerships,Industrials,United States,7727580420
Dover Corporation,ramping down sales activity and focusing on liquidating working capital,Industrials,United States,231006923
Dow,suspend investments/some purchases but not all,Materials,United States,572031077
Duolingo,make services free and stop gaining revenue,Information Technology,United States,
E.ON,stop buying new Russian gas,Utilities,Germany,7736050003
Eaton,stop shipments to Russia; maintains services,Industrials,United States,5103070023
Eimskip,reduced operation in Russia,Industrials,Iceland,7714685137
Elanco,scale back to critical products to ensure food security,Health Care,United States,7703803068
Elsevier,suspended all sales except essential health products,Communication Services,Netherlands,7703681123
Eni,suspend stipulation of new oil contracts; divest from investmens for rubles,Energy,Italy,7701872122
Epic Games,stop in-game commerce for Russia,Consumer Discretionary,United States,5402068350
Esri,curtail sales to Russia; no information about Russian office,Information Technology,United Kingdom,7743692058
Ferrero,suspend non-essential business activity,Consumer Staples,Italy,5044018861
Fieldfisher,terminate certain Russian relationships,Industrials,United Kingdom,
FIGMA,continue current business & stop all new sales efforts in Russia,Information Technology,United States,9731051832
Fortive,suspend most operations except medical essentials,Industrials,United States,
Gap Inc,online sales running; stopped shipments to franchisees in Russia,Consumer Discretionary,United States,
